Label,grouped,count,member,url1,url2,url3,,,,,,
उपलब्ध अस्पताल,उपलब्ध अस्पताल,1,Omkar,,,,,,,,,Omkar
टीकाकरण आवश्यकताएं,टीकाकरण आवश्यकताएं,1,Omkar,,,,,,,,,Akshay
मानसिक चिकित्सा सेवाएं,मानसिक चिकित्सा सेवाएं,1,Omkar,,,,,,,,,
निकटतम तत्काल देखभाल,निकटतम तत्काल देखभाल,1,Omkar,,,,,,,,,
संपर्क विवरण,संपर्क विवरण,1,Omkar,,,,,,,,,
कोविड सेवा,"कोविड सेवा,चिकित्सक के साथ प्रस्तावित भेंट,आने वाली छात्र आवश्यकताएँ,बीमा,फ़ोन नंबर",5,Omkar,,,,,,,,,
संपर्क नंबर,संपर्क नंबर,1,Omkar,,,,,,,,,
चिकित्सा देखभाल,"चिकित्सा देखभाल,नए कोविड दिशानिर्देश",2,Omkar,,,,,,,,,
COVID दवा आवश्यकताएँ,COVID दवा आवश्यकताएँ,1,Omkar,,,,,,,,,
आपातकालीन कक्ष,आपातकालीन कक्ष,1,Omkar,,,,,,,,,
इनश्योरेंस मूल्य,इनश्योरेंस मूल्य,1,Omkar,,,,,,,,,
टीबी परीक्षण,टीबी परीक्षण,1,Omkar,,,,,,,,,
कोविड परीक्षण,कोविड परीक्षण,1,Omkar,,,,,,,,,
कार्यालय अवधि,कार्यालय अवधि,1,Omkar,,,,,,,,,
बीमा के तहत कवर किया गए रोग,"बीमा के तहत कवर किया गए रोग,अस्पताल संपर्क नंबर",2,Omkar,,,,,,,,,
आपातकालीन प्रक्रिया,"आपातकालीन प्रक्रिया,आघात से बाहर कैसे आएं?,फुटबॉल की चोट,COVID वैक्सीन की कीमत",4,Omkar,,,,,,,,,
कोविड आपातकालीन हेल्पलाइन,कोविड आपातकालीन हेल्पलाइन,1,Omkar,,,,,,,,,
आपातकालीन फोन नंबर,आपातकालीन फोन नंबर,1,Omkar,,,,,,,,,
वैक्सीन आवश्यकता,"वैक्सीन आवश्यकता,फ़ोन नंबर",2,Omkar,,,,,,,,,
कोविड परीक्षण स्थल,"कोविड परीक्षण स्थल,माता-पिता के लिए लॉगिन पोर्टल",2,Omkar,,,,,,,,,
यौन जागरूकता,यौन जागरूकता,1,Omkar,,,,,,,,,
इमरजेंसी हेल्पलाइन,इमरजेंसी हेल्पलाइन,1,Omkar,,,,,,,,,
स्वास्थ्य शुल्क,स्वास्थ्य शुल्क,1,Omkar,,,,,,,,,
बीमा हेल्पलाइन,बीमा हेल्पलाइन,1,Omkar,,,,,,,,,
स्प्रिंग 2022 विद्यार्थी वैक्सीन,स्प्रिंग 2022 विद्यार्थी वैक्सीन,1,Omkar,,,,,,,,,
विद्यार्थी  स्वास्थ्य ईमेल या फोन नंबर,विद्यार्थी  स्वास्थ्य ईमेल या फोन नंबर,1,Nitish,,,,,,,,,
Depression ke liye support group,"Depression ke liye support group,ऐटना बीमा लागत",2,Nitish,,,,,,,,,
Quarantine kaise kare,"Quarantine kaise kare,USC hospital ka number,चिकित्सक,अन्य छात्र स्वास्थ्य बीमा,सेवाओं की लागत,डॉक्टरों के लिए मेल पता,डीपीएस आपातकालीन हॉटलाइन नंबर,एम्बुलेंस नंबर,COVID वैक्सीन स्टॉक,समूह परामर्श शुल्क,माता-पिता के लिए लॉगिन पोर्टल,एंटीजन किट का उपयोग कर परीक्षण",12,,,,,,,,,,
Fall 23 insurance ke liye kitne paise lagenge,"Fall 23 insurance ke liye kitne paise lagenge,यू.एस.सी  स्टूडेंट हेल्थ इंश्योरेंस,यात्रा पर यात्रा बीमा लागत",3,Nitish,,,,,,,,,
vaccination ka appointment kaise le,vaccination ka appointment kaise le,1,Nitish,,,,,,,,,
What to do on drug overdose (Jyada nasha karne pe kya kare),What to do on drug overdose (Jyada nasha karne pe kya kare),1,Nitish,,,,,,,,,
परामर्श नियुक्ति,परामर्श नियुक्ति,1,Nitish,,,,,,,,,
छात्र टीकाकरण आवश्यकताएँ,छात्र टीकाकरण आवश्यकताएँ,1,Nitish,,,,,,,,,
पॉप परीक्षण स्थान,पॉप परीक्षण स्थान,1,Nitish,,,,,,,,,
यू.एस.सी  स्वास्थ्य केंद्र फोन नंबर,यू.एस.सी  स्वास्थ्य केंद्र फोन नंबर,1,Nitish,,,,,,,,,
आपातकालीन,आपातकालीन,1,Nitish,,,,,,,,,
मानसिक स्वास्थ्य संपर्क नंबर,मानसिक स्वास्थ्य संपर्क नंबर,1,Nitish,,,,,,,,,
बूस्टर लगवाना जरूरी है?,बूस्टर लगवाना जरूरी है?,1,Nitish,,,,,,,,,
