group_list,url1,url2,url3
emergency health center phone number,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
emergency contact number,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
emergency number,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
check for emergency contacts and hotline numbers,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
emergency care number,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
emergency hotline number,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
dps emergency hotline number,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
emergency hospital contact,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
usc health hotline,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
usc health hotline number,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
usc health hotline,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
usc health hotline number,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
emergency hospital contact,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
immunizations,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
immunization requirements,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
immunization  requirements,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
immunisation requirements,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
immunization,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
medical immunization waiver,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
mandatory immunizations,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
mmr vaccine support,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
varicella vaccine support,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
ambulance number,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/emergencies/,
