group_list,url1,url2,url3
उपलब्ध अस्पताल,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/
टीकाकरण आवश्यकताएं,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/,https://studenthealth.usc.edu/health-requirements-for-new-students/
मानसिक चिकित्सा सेवाएं,https://studenthealth.usc.edu/counseling/,https://sites.google.com/usc.edu/bipocmentalhealth,https://sites.google.com/usc.edu/bipocmentalhealth/making-an-appointment
निकटतम तत्काल देखभाल,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/medical-care/,https://sites.google.com/usc.edu/rsvpclientservices/seek-care/medical-information
चिकित्सक के साथ प्रस्तावित भेंट,https://studenthealth.usc.edu/make-an-appointment/,https://studenthealth.usc.edu/questions-about-student-health-sign-up-for-for-a-chat/,https://studenthealth.usc.edu/mySHR/
आने वाली छात्र आवश्यकताएँ,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/health-care-and-health-insurance/
बीमा,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/waiver-requirements/,
फ़ोन नंबर,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/emergencies/,
संपर्क विवरण,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/hours/
कोविड सेव,https://studenthealth.usc.edu/instructions-exposure-to-a-positive-individual/,https://studenthealth.usc.edu/emergencies/,
संपर्क नंबर,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
चिकित्सा देखभाल,https://studenthealth.usc.edu/make-an-appointment/,https://studenthealth.usc.edu/questions-about-student-health-sign-up-for-for-a-chat/,https://studenthealth.usc.edu/mySHR/
COVID दवा आवश्यकताएँ,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/vaccine-clinic/
आपातकालीन कक्ष,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
इनश्योरेंस मूल्य,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/vaccine-clinic/
टीबी परीक्षण,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/sart-resources/,https://studenthealth.usc.edu/faq-regarding-family-member-access-to-medical-records/
कोविड परीक्षण,https://studenthealth.usc.edu/fees-and-insurance/,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/health-care-and-health-insurance/
कार्यालय अवधि,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/immunizations/,https://studenthealth.usc.edu/faq-immu-english/
बीमा के तहत कवर किया गए रोग,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/vaccine-clinic/,https://studenthealth.usc.edu/covid-19-testing-pcr-and-antigen/
अस्पताल संपर्क नंबर,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/vaccine-clinic/,https://studenthealth.usc.edu/covid-19-testing-pcr-and-antigen/
आपातकालीन प्रक्रिया,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/emergencies/,
