group_list,url1,url2,url3
Centro de emergencias más cercano,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/studying-abroad/for-program-coordinators/,https://studenthealth.usc.edu/instructions-exposure-to-a-positive-individual/
Centros de atención medica en USC,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/studying-abroad/for-program-coordinators/,https://studenthealth.usc.edu/instructions-exposure-to-a-positive-individual/
Número de centro de salude en USC,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents
Número de contacto de Emergencia en el centro de salud de USC,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents
Correo del centro de salud de USC,https://studenthealth.usc.edu/emergencies/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents
Regulaciones de COVID,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/list-of-accepted-vaccines/
Requisitos de salud para estudiantes internacionales,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/vaccine-clinic/
Plan de salud para estudiantes de USC para estudiantes nuevos,https://studenthealth.usc.edu/for-online-students/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents/
Datos de contacto de la Oficina de Salud Estudiantil,https://studenthealth.usc.edu/for-online-students/,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/student-health-advisory-committee/
Requisitos de salud para estudiantes universitarios,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/getting-started/
Oficina de Seguro de Salud para Estudiantes Contacto,https://studenthealth.usc.edu/health-care-and-health-insurance/student-health-insurance-office-contact/,https://studenthealth.usc.edu/for-online-students/,https://studenthealth.usc.edu/fees-and-insurance/
Requisitos de salud para estudiantes nuevos,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/health-requirements-for-new-students/
Cuales son los servicios médicos que USC provee?,https://studenthealth.usc.edu/athletic-medicine/,https://studenthealth.usc.edu/pop-testing-hours-and-locations/,https://studenthealth.usc.edu/usc-student-health-part-of-keck-medicine-of-usc-earns-top-score-in-human-rights-campaign-foundations-2022-healthcare-equality-index/
Número de contacto de Emergencia en el centro de salud de USC,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents/,https://studenthealth.usc.edu/counseling/
Correo del centro de salud de USC,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/usc-student-health-part-of-keck-medicine-of-usc-earns-top-score-in-human-rights-campaign-foundations-2022-healthcare-equality-index/,https://studenthealth.usc.edu/getting-started/parents/
Farmacias en USC,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/usc-student-health-part-of-keck-medicine-of-usc-earns-top-score-in-human-rights-campaign-foundations-2022-healthcare-equality-index/,https://studenthealth.usc.edu/getting-started/parents/
Centro de Salud Mental en USC,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents/,https://studenthealth.usc.edu/counseling/
Requisitos para seguro médico de USC,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/vaccine-clinic/
Centros de atención medica en USC,https://studenthealth.usc.edu/upc-student-health-center/,https://studenthealth.usc.edu/eric-cohen-student-health-center/,https://studenthealth.usc.edu/instructions-positive-test-results/
Servicios medicos en USC,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/medical-policies/
Información de seguro en USC para estudiantes internacionales,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/for-online-students/,https://studenthealth.usc.edu/getting-started/parents/
Como se llama el seguro médico que utilizan los estudiantes de USC,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/for-online-students/,https://studenthealth.usc.edu/getting-started/parents/
Vacunaciones requeridas para estudiantes de primer año,https://studenthealth.usc.edu/health-professions/,https://studenthealth.usc.edu/getting-started/,https://studenthealth.usc.edu/vaccine-clinic/
Tiempo para completar los requisitos de vacunación para estudiantes de primer año,https://studenthealth.usc.edu/health-professions/,https://studenthealth.usc.edu/getting-started/,https://studenthealth.usc.edu/vaccine-clinic/
Requisitos  contra el COVID en USC,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents/,https://coronavirus.usc.edu/faq-covid-19-vaccine-policy/
Horas de atención sin cita previa,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/medical-policies/
Número para servicio en Salud Mental,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents/,https://studenthealth.usc.edu/counseling/
Servicios de salud mental,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents/,https://studenthealth.usc.edu/counseling/
Talleres de Salud Mental,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents/,https://studenthealth.usc.edu/counseling/
Centro de Salud Mental en USC,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/getting-started/parents/,https://studenthealth.usc.edu/counseling/
Vacuna contra el COVID,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/covid-19-update-for-campuses-2-18-22/,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/
Apoyo a la vacuna MMR,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/covid-19-update-for-campuses-2-18-22/,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/
Costo de la vacuna COVID,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/covid-19-update-for-campuses-2-18-22/,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/
Stock de vacunas COVID,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/covid-19-update-for-campuses-2-18-22/,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/
Tipos de vacuna COVID,https://studenthealth.usc.edu/health-requirements-for-new-students/,https://studenthealth.usc.edu/covid-19-update-for-campuses-2-18-22/,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/
Número de contacto de Emergencia en el centro de salud de USC,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/vaccine-clinic/
Enfermeras disponibles  para una posible emergencia en USC,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/vaccine-clinic/
Número de farmacia más cerca,https://studenthealth.usc.edu/vaccine-clinic/,https://studenthealth.usc.edu/covid-19-health-services/covid19-vaccines/,https://studenthealth.usc.edu/covid-19-testing/
Requisitos para seguro médico de USC,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/vaccine-clinic/
Póliza de seguros,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/medical-policies/
Servicios Médicos de Salud,https://studenthealth.usc.edu/medical-care/,https://studenthealth.usc.edu/fees-deadlines/,https://studenthealth.usc.edu/medical-policies/
Cobertura del seguro,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,,
Cobertura de Seguro para Emergencias,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/vaccine-clinic/
Plan de pago para el seguro,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/vaccine-clinic/
Requisitos de seguro,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/vaccine-clinic/
Requisitos para seguro médico,https://studenthealth.usc.edu/our-services/insurance-plan/how-to-request-a-waiver-for-usc-student-health-insurance/,https://studenthealth.usc.edu/counseling/,https://studenthealth.usc.edu/vaccine-clinic/
